line,artist
straight through the heart,Dio
straight through the heart,Dio
"Oh, never tell a secret",Dio
with your eyes,Dio
it's the eyes that let you down,Dio
Tell a little truth with many lies,Dio
it's the only way I've found,Dio
"Oh, here it comes again",Dio
straight through the heart,Dio
straight through the heart,Dio
Shout to the wind,Dio
how can you hurt me this way,Dio
"Oh, once it begins",Dio
it looks like it's coming to stay,Dio
Hanging from the cobwebs in you mind,Dio
"it looks like a long, long way to fall",Dio
No one ever told me life was kind,Dio
I guess I never heard it,Dio
I never heard it all,Dio
in the middle of the heart,Dio
"No, don't stand still",Dio
they'll get you right through your heart,Dio
here it comes,Dio
here it comes again,Dio
straight through the heart,Dio
If your circle stays unbroken,Dio
then you're a lucky man,Dio
"'cause it never, never, never has for me",Dio
In the palace of the virgin,Dio
lies the chalice of the soul,Dio
and it's likely you might find the answer there,Dio
She had thirteen years of teenage tears,Dio
never a helping hand,Dio
She had fourteen more of rain before,Dio
she saw the sight of land,Dio
She was a photograph just ripped in half,Dio
a smile inside a frown,Dio
And then the light,Dio
the answer right inside her coming down,Dio
She said,Dio
I can go away I can leave here,Dio
I can be invisible,Dio
I'll go away,Dio
He was just eighteen and in between,Dio
a lady and a man,Dio
His daddy's girl in momma's world,Dio
that was when he ran,Dio
"you know the word ""confused"" has been abused",Dio
but that's just what he was,Dio
And in the spark inside the dark,Dio
"the answer came to call it said,",Dio
You can go away,Dio
you can leave here,Dio
you can be be be invisible,Dio
"Well, I grew up quick and I felt the kick of life upon a stage",Dio
So I bought the book and took a fast look,Dio
at just the very last page,Dio
It was a single word that I'd just heard,Dio
from the two that came before,Dio
The only way to really stay,Dio
is to walk right out the door,Dio
So you can go away,Dio
I'm gonna leave here,Dio
I can be invisible and go away again,Dio
I can go away when I leave here,Dio
I can be invisible,Dio
I said when I've gone away,Dio
lord you know it's right to leave here,Dio
So I just became invisible,Dio
"I went away,",Dio
I disappeared before your eyes.,Dio
You never touch me you never feel me,Dio
you'll never see me again,Dio
because I've just become unseen,Dio
Well I'm a photograph that's been torn in half,Dio
we're all eighteen and we're in between,Dio
We need a helping hand to the holy land,Dio
to be invisible,Dio
to go away,Dio
When there's lightning,Dio
You know it always bring me down,Dio
'Cause it's free,Dio
And I see,Dio
That it's me who's lost and never found,Dio
I cry out for magic,Dio
I feel it dancing in the light,Dio
"It was cold,",Dio
Lost my hold,Dio
To the shadows of the night,Dio
No sign of the morning coming,Dio
You've been left on your own,Dio
Like a rainbow in the dark,Dio
A rainbow in the dark,Dio
"Do your demons,",Dio
Do they ever let you go?,Dio
When you've tried,Dio
Do they hide,Dio
Deep inside. Is it someone that you know?,Dio
You're just a picture,Dio
You're an image caught in time,Dio
We're a lie,Dio
You and I,Dio
We're words without a rhyme,Dio
There's no sign of the morning coming,Dio
You've been left on your own,Dio
Like a rainbow in the dark,Dio
Just a rainbow in the dark yeah,Dio
When i see lightning,Dio
You know it always brings me down,Dio
'Cause it's free,Dio
And I see,Dio
That it's me who's lost and never found,Dio
Feel the magic,Dio
I feel it floating in the air,Dio
But it's fear,Dio
And you'll hear,Dio
It callingâyou bewareâlook out,Dio
There's no sign of the morning coming,Dio
There's no sign of the day,Dio
You've been left on your own,Dio
Like a rainbow,Dio
Like a rainbow in the dark,Dio
Yeah yeah you're a rainbow in the dark,Dio
Just a rainbow in the dark,Dio
No sign of the morning,Dio
You're a rainbow in the dark whoa oh oh,Dio
Shame on the night,Dio
for places I've been and what I've seen,Dio
for giving me the strangest dreams,Dio
But you never let me know just what they mean,Dio
so oh oh so shame on the night alright,Dio
And shame on you,Dio
you've stolen the day,Dio
snatched it away,Dio
but I saw the sky and I never want to die,Dio
Now you know the reason why,Dio
I say oh shame on the night,Dio
You don't care what you've done,Dio
so I think I'd better run,Dio
Shame on the sun,Dio
for the light you sold,Dio
I've lost my hold,Dio
on the magic flame,Dio
but now I know your name,Dio
Oh lord just go the way you came,Dio
again oh oh oh,Dio
shame on the night,Dio
You don't care what you've done,Dio
so I know I'd better run,Dio
Shame on the night,Dio
for places I've been and what I've seen,Dio
for giving me the strangest dreams,Dio
You never never never know just what they mean,Dio
and oh oh so shame on the night,Dio
You don't care what you've done,Dio
here I go... I've got to run,Dio
Shame on the night,Dio
shame shame on you,Dio
Shame on the dream,Dio
shame on the sun and you,Dio
shame on the night,Dio
When I lost my hold,Dio
on the magic flame,Dio
but now I know your name,Dio
Shame on the night,Dio
shame on you,Dio
shame on all of you,Dio
shame on the night,Dio
Ha ha ha ha ha ha ha ha ha ha ha ha ha ha,Dio
"Turn out the lights, you'll see them anyway",Dio
Sail into never,Dio
They'll follow wherever you can go,Dio
"And places that you never never know, no, no, uh",Dio
It's the call of the city,Dio
The way that black's pretty to the purest heart,Dio
There's places of pleasure,Dio
They promise you treasure if you fly,Dio
And then there goes the soul of you and I,Dio
Oh do you ever think about the way I caught the rainbow?,Dio
I'll be there where fire makes you dance,Dio
I'm going to give you the look that opens up the skies,Dio
"I've got evil eyes, evil eyes, evil eyes, evil eyes",Dio
"Yes, evil eyes",Dio
Ooh those eyes,Dio
"Uh, hide in the night time",Dio
"Turn out the lights, you see them anyway",Dio
Sail into never,Dio
They'll follow wherever you can go,Dio
"Oh, evil eyes, evil eyes, evil eyes, evil eyes",Dio
"Evil eyes, evil eyes",Dio
"Protect your lies, evil eyes",Dio
"You're a thin disguise for what you are, your evil eyes, eyes",Dio
Sail into never,Dio
They'll follow forever,Dio
'Cause they're evil eyes ( eyes),Dio
"Evil, evil, evil, evil, evil, evil, evil eyes, oh, they're evil eyes, just evil eyes....",Dio
you gotta be somewhere at sometime,Dio
and they'll never let you fly,Dio
It's like broken glass,Dio
you get cut before you see it,Dio
so open up your eyes,Dio
You've got desire,Dio
so let it out,Dio
you've got the power,Dio
stand up and shout,Dio
"Yeah, oh shout!!!",Dio
You got wings of steel,Dio
but they never really move you,Dio
you only seem to crawl,Dio
You've been nailed to the wheel,Dio
but never really moving,Dio
you know you've got to work it out,Dio
You've got desire,Dio
so let it out,Dio
you've got the power,Dio
stand up and shout,Dio
"stand up and shout, yeah",Dio
Let it out,Dio
You are the strongest chain,Dio
and you're not just some reflection,Dio
so never hide again,Dio
You are the driver,Dio
you own the road,Dio
"you are the fire -- go on, explode",Dio
you are desire,Dio
"Let it out, you have the power,",Dio
Stand up and shout...,Dio
"stand up and shout, oh!",Dio
"""Thank you!""",Dio
"it looks like a long, long way to fall",Dio
No one ever told me life was kind,Dio
I guess I never heard it,Dio
I never heard it all,Dio
Living in a world of make believe,Dio
you can hide behind what's real,Dio
wearing your emotions on your sleeve,Dio
"and they all know what, what you feel, yeah",Dio
And here it comes again,Dio
"straight through the heart, no no",Dio
right through the heart,Dio
"Oh, never tell a secret",Dio
with your eyes,Dio
it's the eyes that let you down,Dio
Tell a little truth with many lies,Dio
it's the only way I've found,Dio
"Oh, here it comes again",Dio
right through your heart,Dio
right in your heart,Dio
Shout to the wind,Dio
how can you hurt me this way,Dio
"Oh, once it begins",Dio
it looks like it's coming to stay,Dio
Hanging from the cobwebs in you mind,Dio
"it looks like a long, long way to fall",Dio
No one ever told me life was kind,Dio
I guess I never heard it,Dio
"I never heard it all, yeah",Dio
"here it comes again well, straight through your heart",Dio
right through your heart. right in your heart yeah,Dio
Shout to the wind,Dio
how can you hurt me this way,Dio
"Oh, once it begins",Dio
"here it comes again right through your heart, right through your heart",Dio
"no, don't stand still, they will get you, right through your heart.",Dio
"here it comes again, here it comes again",Dio
right in your heart.,Dio
You watch their faces you'll see the traces of the things they want to be but only we can see,Dio
They come for killing they leave and still it seems the cloud that's left behind oh can penetrate your mind,Dio
But sail on sing a song carry on 'cause we rock we rock we rock we rock,Dio
We pray to someone but when it's said and done it's really all the same with just a different name,Dio
So many voices all giving choices if we listen they will say oh we can find the way,Dio
But we'll sail on sing a song carry on 'cause we rock we rock we rock we rock,Dio
We rock we rock we rock we rock we rock we rock,Dio
You watch their faces you'll see the traces of the things they want to be but only we can see,Dio
They come for killing they leave and still it seems the cloud that's left behind  can penetrate your mind,Dio
But sail on sing a song carry on 'cause we rock we rock we rock we rock,Dio
We rock we rock we rock we rock ride out stand and shout carry on sail on sing your song carry on,Dio
'cause we rock we rock see how we rock we rock that's rock we rock we rock we rock,Dio
We're a ship without a storm the cold without the warm light inside the darkness that it needs yeah,Dio
We're a laugh without a tear the hope without the fear we are coming home,Dio
We're off to the witch we may never never never come home but the magic that we'll feel is worth a lifetime,Dio
We're all born upon the cross the throw before the toss you can release yourself but the only way is down,Dio
We don't come alone we are fire we are stone we're the hand that writes then quickly moves away,Dio
We'll know for the first time if we're evil or divine we're the last in line yeah we're the last in line,Dio
Two eyes from the east it's the angel or the beast and the answer lies between the good and bad,Dio
We search for the truth we could die upon the tooth but the thrill of just the chase is worth the pain,Dio
We'll know for the first time if we're evil or divine we're the last in line yeah we're the last in line oh oh oh,Dio
Yeah we're off to the witch we may never never never come home but the magic that we'll feel is worth a lifetime,Dio
We're all born upon the cross you know we'rethe throw before the toss ,Dio
You can release yourself but the only way you go is down,Dio
We'll know for the first time if we're evil or divine we're the last in line oh oh we're the last in line,Dio
See all we shine we're the last in we're the last in we're the last in we're the last in,Dio
We're the last in we're the last line oh oh ooh oh ,Dio
We're the ship without the storm we're the cold inside the warm ,Dio
We're the last without a tear we're the throw without the meal,Dio
We're the last in line we're the last in line ,Dio
We're the last in line see how we shine we're the last in line,Dio
No no no no no no no,Dio
You said a single word but no one really heard sometimes we scream alone,Dio
It's always worse at night when darkness kills the light you're in the danger zone,Dio
You wait with pounding heart you know it's just the start,Dio
'cause you're breathless ready to burn breathless the circle still turns,Dio
Breathless willing to learn you're breathless yeah,Dio
Living inside your mind who knows the things you'll find there could be hell or rainbows,Dio
But it's a funny thing the more you feel the sting you're just a leaf that the wind blows,Dio
You've been this way before one step and you're through the door,Dio
And you're breathless ready to burn breathless the circle still turns,Dio
Breathless you're willing to learn you're breathless yeah alright,Dio
Yeah you said a single word but no one really heard sometimes we scream alone,Dio
It's always worse at night when darkness kills the light you're in the danger zone,Dio
You wait with pounding heart you know it's just the start,Dio
'cause you're breathless ready to burn breathless the circle still turns,Dio
Breathless willing to learn you're breathless yeah,Dio
When you're breathless alone in the night breathless but you fear and you're right,Dio
Breathless ready to burn you're breathless ,Dio
You said a single word no one really heard ,Dio
It's always worse at night 'cause when the darkness kills the light ,Dio
Then you're breathless yeah you're breathless ready to burn,Dio
Breathless you're willing to learn breathless oh the circle still turns ,Dio
You're breathless breathless come you're breathless,Dio
Alright dark touches send rushed through the brain black's whiter burns brighter than the flame,Dio
No shadows just whispers in the wind no faces just places to begin,Dio
I just come seeking pleasure I hate the light I speed at night at night at night alright,Dio
My demons they seem to disappear no vision I only see to hear,Dio
Protection I never needed none direction just nowhere near the sun,Dio
You've got some stairs to heaven you may be right,Dio
I only know in my world I hate the light I speed at night ,Dio
I speed at night I speed at night I speed at night alright,Dio
Dark touches send rushed through the brain black's whiter burns brighter than the flame,Dio
No shadows just whispers in the wind no faces just places to begin,Dio
You've got some stairs to heaven you may be right,Dio
I only know in my world I hate the light I speed at night,Dio
I speed at night I speed at night I speed at night yeah,Dio
I speed at night night night night night I speed at night night night night night ,Dio
No shadows no faces just whispers in dark places,Dio
I speed at night I speed at night I speed at night I speed at night alright,Dio
Oh Johnny was a dark child he was promised to us all,Dio
But riders in the night can lift you out of sight when they call that's all,Dio
But Sally was a princess and she was chosen for the crown,Dio
But chains can't stop the sound of one night in the city one night looking pretty yeah,Dio
Then someone opened doorways and Johnny slipped away,Dio
Running for the bright where dark is always light but there's no day no way,Dio
The princess saw the dark child and the dark child said her name come steal away we'll play the game,Dio
Do you watch do you see do you know the people in me I'm the bite I'm the bark I'm the scream,Dio
I'm the poor I'm the sure I'm the holy I'm the pure I can tell you tales you just might not believe,Dio
One night in the city one night looking pretty one night in the city one night looking pretty,Dio
One night one night one night one night one night one night,Dio
Yeah the children shared the wonder of the leather and the lace,Dio
But one child went away and one child stayed to play for one night in the city,Dio
One night looking pretty yeah one night in the city one night touching pretty ,Dio
But chains don't make a wall and dreams lay where they fall,Dio
Dark is never night when dreams make up the light one night in the city,Dio
One night feeling pretty yeah one night in the city feeling pretty pretty pretty ,Dio
Pretty in the city one night in the city yeah one night one night one night one night,Dio
One night in the city one night one night oh one child went away,Dio
And one child stayed to play chains don't make a wall,Dio
Your dreams are made up where they fall one night in the city,Dio
Hide in the midnight turn out the lights you'll see them anyway,Dio
Sail into never they'll follow wherever you can go and take you to the places you don't know no no,Dio
It's the call of the city the way that black's pretty to the purest heart,Dio
It's places of pleasure they promise you treasure if you fly and then there goes the soul of you and I,Dio
Oh do you ever think about the way I caught the rainbow I'll be there where fire makes you dance,Dio
I'm gonna give you the look that opens up the skies I've got evil eyes evil eyes evil eyes evil eyes,Dio
Yes evil eyes oh those eyes,Dio
Hide in the night time turn out the light they'll see you anyway,Dio
Sail into never they'll follow wherever you can go evil eyes evil eyes evil eyes evil eyes ,Dio
Evil eyes evil eyes take your lies evil eyes you're a thin disguise for what you are evil eyes,Dio
Say that you never the'll follow forever 'cause they're evil eyes evil evil evil evil evil evil eyes,Dio
Hey can you hear me can you see there's a storm on the edge of the sky,Dio
Does it matter it well does to me I can tell you why,Dio
You know when there's thunder there should be rain,Dio
But it don't always follow the rule no,Dio
And is the wise man always right no he can play the fool,Dio
It's always a mystery not what it seems to be,Dio
It's always a mystery just like you and me always a mystery,Dio
We are lightning we are flame and we burn at the touch of a spark,Dio
When there's the fire but no one sees the there's only the dark,Dio
Just imagine will you try I can see that you've opened your mind,Dio
Silver linings can disappear but they always shine,Dio
It's always a mystery not what it seems to be,Dio
It's always a mystery just like you and me always a mystery,Dio
It's always a mystery not what it seems to be always a mystery just like you and me ,Dio
It's always a mystery not what you want to see ,Dio
Always a mystery just like you and me always a mystery,Dio
Always a mystery not what you want to see always a mystery,Dio
Well it's a long hot road I've been upon through the desert of your soul,Dio
I've looked high and low for water but it's not there no no,Dio
And all the promises of springtime turned to lies so cold,Dio
But I'm stronger than you know and I've come to let you go,Dio
Go eat your heart out you've been a bad bad girl you've been hungry all of your life so eat it out,Dio
I've been a prisoner just locked away inside your velvet jail,Dio
It don't matter at all some things can grow without the light alright,Dio
Spinning cages for her pleasure weaving chains to hold the prize,Dio
Magic moments with the jailer all on fire and then he dies,Dio
Eat your heart out you've been a bad bad girl you've been hungry all of your life yeah,Dio
We speed across emotions and then we lose our hold,Dio
We turn on wings of passion that we can't control no,Dio
And all the promises of springtime turned to lies so cold,Dio
But I'm stronger than you know and I've come to let you go,Dio
Go eat your heart out you've been a bad bad girl you've been hungry all of your life so eat your heart out ,Dio
Eat your heart out you've been a bad bad girl you've been hungry all of your life so eat it out,Dio
Eat your heart out run to the shadows of night eat your heart out,Dio
Spinning cages for her pleasure weaving chains to hold the prize,Dio
Magic moments with the jailer all on fire and then he dies then he dies,Dio
In the land of the lost horizon where the queen lies dark and cold,Dio
And when the stars won't shine then the story's told yeah,Dio
When the world was milk and honey and the magic was strong and true,Dio
Then the strange ones came and the people knew oh oh that the chains were on that the chains were on,Dio
My my my in the land of no tomorrow where you pray just to end each day,Dio
And your life just slowly melts away,Dio
Each day you hear the sand as it moves and whispers come and sail on my golden sea,Dio
Maybe one day you'll be just like me and that's free but still your chains are on,Dio
Yes your chains are on still your chains are on,Dio
You've seen them walking on the water you've seen flying through the sky,Dio
They were frightening in the darkness they had rainbows in their eyes,Dio
When the world was milk and honey and the magic was strong and true,Dio
Then the strange ones came and the people knew yeah that the chains were on ,Dio
That the chains were on that the chains were on that the chains were on,Dio
Oh my the chains were on in the land of the lost horizon where the chains are on ,Dio
In the land of milk and honey still the chains are on ,Dio
Where the queen lies dark and lonely still the chains are on ,Dio
And the world was low and magic but the chains were on ,Dio
The chains were on oh the chains were on yeah the chains were on oh the chains were on,Dio
Yeah the chains were on I've seen them walking on the water,Dio
Yeah the chains were on I've seen them flying through the sky,Dio
My the chains were on they were frightening in the darkness,Dio
Yes the chains were on they had rainbows in their eyes,Dio
He's the king of rock and roll yeah all right yeah,Dio
Right hot night summer in the city just about to smoke and burn,Dio
Look out he's evil but he's pretty and oh he's gonna twist and turn,Dio
He's got the midnight madness he's got control he's the king of rock and roll,Dio
Bad blood everybody knows it but everybody doesn't care no,Dio
He's got the only way to show it they want to see it everywhere,Dio
He's got to give you fever he'll scratch your soul,Dio
He's the king of rock and roll the king of rock and roll,Dio
Bad boy always on the cover gettin' the story told,Dio
Fast fast one way or another 'cause he'll never never never never never get old,Dio
He makes a special magic and you've got control you are the king of rock and roll,Dio
He's got the midnight madness he's got a soul,Dio
'cause he's the king of rock and roll king of rock and roll ,Dio
Rock and roll rock and roll rock and roll the king of rock and roll yeah,Dio
Hey the old ones speak of winter the young ones praise the sun and time just slips away,Dio
Oh running into nowhere turning like a wheel and a year becomes a day,Dio
Whenever we dream that's when we fly so here is a dream for just you and I,Dio
We'll fin the sacred heart somewhere bleeding in the night yeah,Dio
Look for the light and find the sacred heart,Dio
Oh here we see the wizard staring through the glass and he's pointing right at you,Dio
Now you can see tomorrow the answer and the lie and the things you've got to do yeah,Dio
Oh sometimes you never fall and ah you're the lucky one,Dio
But oh sometimes you want it all you've got to reach for the sun,Dio
And find the sacred heart somewhere bleeding in the night oh look to the light,Dio
Well you fight to kill the dragon and bargain with the beast and sail into a sight,Dio
You run along the rainbow and never leave the ground and still you don't know why,Dio
Whenever you dream you're holding the key it opens the door to let you be free yeah,Dio
And find the sacred heart somewhere bleeding in the night yeah,Dio
Run for the light and you'll find the sacred heart,Dio
A shout comes from the wizard the sky begins to crack and he's looking right at you quick,Dio
Run along the rainbow before it turns to black attack,Dio
And oh sometimes you never fall and ah you're the lucky one,Dio
Oh sometimes you need it all you've got to reach for the sun,Dio
And find the sacred heart yeah bleeding in the night yeah yeah ,Dio
We'll find the sacred heart,Dio
She's a rumor in the night it's crazy you can see her but she isn't there,Dio
She's the stealer of the light it's crazy but you go anywhere,Dio
It was just a summer night maybe when a shiver cut across the air,Dio
Should you run and get away maybe to go where where where,Dio
She crouches the hunter ready to tell you another lie another lie,Dio
You could see the side of someday feel the power of the young and strong,Dio
You were learning how to fly someway you were wrong wrong wrong,Dio
She jumped at the moment a chance to tell you another lie another lie another lie,Dio
It was just a summer night maybe when a shiver cut across the air,Dio
Should you run and get away maybe to go where where where,Dio
She jumps at the moment she crouches the hunter yeah,Dio
You look and you know she's telling you another lie another lie another lie,Dio
Why it's crazy when you feel you're getting stronger another lie,Dio
Why it's crazy all the lies are getting longer another lie,Dio
Who oh yeah another lie another lie,Dio
It was starting to rain on the night that they first decided,Dio
It was blinding with snow on the night that they ran away,Dio
They were found in the dark but they never returned just like somebody slammed the door bang yeah,Dio
She was meant to be wild he was nearly a child but they only could feel each other,Dio
They were paper and fire angel and liar the devil of one another,Dio
Then they were thrown to the ground with a terrible sound just like somebody broke a heart,Dio
Rock'n'roll children alone again rock'n'roll children without a friend but they got rock'n'roll,Dio
It was starting to rain on the night that they cried forever,Dio
Oh it was blinding with snow on the night that they screamed goodbye,Dio
They were lost in the dark and they never returned just like somebody slammed the door,Dio
Ah rock'n'roll children alone again rock'n'roll children without a friend ,Dio
Poor rock'n'roll children caught up in the spinning wheel poor rock'n'roll children alone again,Dio
It was starting to rain on the night that they ran it was blinding with snow on the night we let them go,Dio
Poor rock'n'roll children oh oh children rock'n'roll children children of the night,Dio
Poor rock'n'roll children poor children lost poor souls rock'n'roll children oh ho oh ho oh ho,Dio
Rock'n'roll children rock and roll,Dio
You're a dancer but you're dancing on air just a matter of time till you fall,Dio
You're a dreamer one night at the fair but still you want it all,Dio
You're in danger the last of a line but the vision lasts forever,Dio
So just hold on you can make it happen for you reach for the stars and you will fly,Dio
You 're hungry for heaven hungry for heaven hungry for heaven ,Dio
But you need a little hell oh oh oh ooh oh,Dio
You're a runner but you're chasing yourself feel the hot breath on your shoulder,Dio
You're emotion running cold running warm the young just getting older,Dio
We are sunlight we can sparkle and shine and our dreams are what we're made of,Dio
Oh just hold on you can make it happen for you reach for the stars and you will fly,Dio
You 're hungry for heaven hungry for heaven hungry for heaven ,Dio
But you need a little hell oh oh oh ooh oh hungry,Dio
You 're hungry for heaven hungry for heaven hungry for heaven hungry for heaven,Dio
You're hungry for heaven oh hungry for heaven so hungry for heaven you're hungry for heaven,Dio
You're a dancer but you're dancing on air you're a dreamer one night at the fair,Dio
You're hungry hungry there for heaven oh oh oh,Dio
You're a runner in the night just a dreamer but that's alright,Dio
You're hungry hungry for heaven oh hungry hungry for heaven,Dio
Hungry for heaven hungry for heaven no no no,Dio
Tonight we run we can hide in the dark when the moon steals the light from the dying sun,Dio
Oh run it's a better thing than we have ever done,Dio
There's a beast that lives inside you and it's screaming to get out,Dio
Like the beat of a heart like the beat of a heart,Dio
Don't look behind 'cause a tear that never dies can only make you blind,Dio
You've got to try 'cause the future's never never gonna die,Dio
There's a beast that lives inside you and it's screaming to get out,Dio
It's a storm that's never ending it's a truth without a doubt yeah eh,Dio
Tonight we run we can hide in the dark 'till the moon steals the light from the sun,Dio
There's a beast that lives inside you and it's screaming let me out,Dio
It's a storm that's never ending it's a truth without a doubt,Dio
Now love can be a whisper but pain will always shout to you,Dio
Like the beat of a heart like the beat of a heart,Dio
Like the beat of a heart like the beat of a heart whoa beat your heart,Dio
You never sing for pleasure you only make the sounds,Dio
You never feel the magic 'cause you think the world is round,Dio
And you never dance in moonlight you run but you never move,Dio
You don't believe in someday and the truth is what you prove,Dio
But it's alright well it's all right just another day,Dio
Too many chains around you you laugh but you never smile,Dio
You don't belong in heaven but you're here all the while,Dio
And it's alright well it's all right just another day another day another day,Dio
Another day to let you down another way that they have found,Dio
Yes another day another way another way another day,Dio
You never sing for pleasure you only make the sounds,Dio
You never feel the magic 'cause you think the world is spinning round for you,Dio
But it's alright yes it's all right well it's alright just another day,Dio
Screaming out alone in the night just a time and place but it's real all right,Dio
We are diamonds that shine without fire we're climbing the stairs,Dio
Going down and never higher we're fallen angels ,Dio
Something came to me in a dream the crack of a gun and a bloody scream,Dio
The I could see the faces and why I was holding the gun and the world began to die,Dio
For fallen angels falling down fallen angels come gather round yey,Dio
It's a criminal world and we all get to play you're a criminal,Dio
Sins of the children never get washed away,Dio
We're fallen angels goin' down oh we are fallen angels gather round,Dio
Screaming out alone in the night just a time and place but it's real all right,Dio
